coupling mStop mChi run sign xsec error
312 1350 1300 Run2 plus 1.522 0.006261
312 1350 400 Run2 plus 1.521 0.006517
312 1350 500 Run2 plus 1.521 0.006518
312 1350 600 Run2 plus 1.521 0.006517
312 1350 700 Run2 plus 1.521 0.006508
312 1350 800 Run2 plus 1.521 0.006487
312 1350 900 Run2 plus 1.521 0.006449
312 1400 1000 Run2 plus 1.243 0.00515
312 1400 100 Run2 plus 1.243 0.005228
312 1400 1100 Run2 plus 1.243 0.005094
312 1400 1200 Run2 plus 1.243 0.005034
312 1400 1300 Run2 plus 1.243 0.004997
312 1400 1350 Run2 plus 1.243 0.005025
312 1400 200 Run2 plus 1.243 0.00523
312 1400 300 Run2 plus 1.243 0.005233
312 1400 400 Run2 plus 1.243 0.005236
312 1400 500 Run2 plus 1.243 0.005238
312 1400 600 Run2 plus 1.243 0.005236
312 1400 700 Run2 plus 1.243 0.005231
312 1400 800 Run2 plus 1.243 0.005217
312 1400 900 Run2 plus 1.243 0.005192
312 1450 1000 Run2 plus 1.02 0.00415
312 1450 1100 Run2 plus 1.02 0.004109
312 1450 1200 Run2 plus 1.02 0.00406
312 1450 1300 Run2 plus 1.02 0.004016
312 1450 1400 Run2 plus 1.021 0.004033
312 1450 400 Run2 plus 1.02 0.004208
312 1450 500 Run2 plus 1.02 0.00421
312 1450 600 Run2 plus 1.02 0.004209
312 1450 700 Run2 plus 1.02 0.004205
312 1450 800 Run2 plus 1.02 0.004197
312 1450 900 Run2 plus 1.02 0.004179
312 1500 1000 Run2 plus 0.8413 0.003332
312 1500 100 Run2 plus 0.8413 0.00337
312 1500 1100 Run2 plus 0.8413 0.003302
312 1500 1200 Run2 plus 0.8413 0.003264
312 1500 1300 Run2 plus 0.8414 0.003225
312 1500 1400 Run2 plus 0.8416 0.003206
312 1500 1450 Run2 plus 0.8415 0.003227
312 1500 200 Run2 plus 0.8413 0.003371
312 1500 300 Run2 plus 0.8413 0.003373
312 1500 400 Run2 plus 0.8412 0.003374
312 1500 500 Run2 plus 0.8412 0.003375
312 1500 600 Run2 plus 0.8412 0.003374
312 1500 700 Run2 plus 0.8412 0.003372
312 1500 800 Run2 plus 0.8412 0.003366
312 1500 900 Run2 plus 0.8412 0.003354
312 1550 1000 Run2 plus 0.6966 0.002669
312 1550 1100 Run2 plus 0.6966 0.002646
312 1550 1200 Run2 plus 0.6967 0.002616
312 1550 1300 Run2 plus 0.6967 0.002583
312 1550 1400 Run2 plus 0.6968 0.002556
312 1550 1500 Run2 plus 0.6969 0.002573
312 1550 400 Run2 plus 0.6966 0.002699
312 1550 500 Run2 plus 0.6966 0.002702
312 1550 600 Run2 plus 0.6966 0.002701
312 1550 700 Run2 plus 0.6966 0.002699
312 1550 800 Run2 plus 0.6966 0.002694
312 1550 900 Run2 plus 0.6966 0.002685
312 1600 1000 Run2 plus 0.5793 0.002138
312 1600 100 Run2 plus 0.5793 0.002163
312 1600 1100 Run2 plus 0.5793 0.00212
312 1600 1200 Run2 plus 0.5793 0.002096
312 1600 1300 Run2 plus 0.5793 0.002068
312 1600 1400 Run2 plus 0.5794 0.002041
312 1600 1500 Run2 plus 0.5795 0.002033
312 1600 1550 Run2 plus 0.5795 0.002049
312 1600 200 Run2 plus 0.5793 0.002163
312 1600 300 Run2 plus 0.5793 0.002164
312 1600 400 Run2 plus 0.5793 0.002164
312 1600 500 Run2 plus 0.5792 0.002164
312 1600 600 Run2 plus 0.5792 0.002163
312 1600 700 Run2 plus 0.5792 0.002161
312 1600 800 Run2 plus 0.5792 0.002157
312 1600 900 Run2 plus 0.5792 0.00215
312 1650 1000 Run2 plus 0.4835 0.001716
312 1650 1100 Run2 plus 0.4835 0.001702
312 1650 1200 Run2 plus 0.4835 0.001684
312 1650 1300 Run2 plus 0.4835 0.001661
312 1650 1400 Run2 plus 0.4836 0.001637
312 1650 1500 Run2 plus 0.4836 0.001621
312 1650 1600 Run2 plus 0.4837 0.001636
312 1650 400 Run2 plus 0.4835 0.001738
312 1650 500 Run2 plus 0.4835 0.001737
312 1650 600 Run2 plus 0.4835 0.001736
312 1650 700 Run2 plus 0.4835 0.001734
312 1650 800 Run2 plus 0.4835 0.001731
312 1650 900 Run2 plus 0.4835 0.001725
312 1700 1000 Run2 plus 0.405 0.001377
312 1700 100 Run2 plus 0.405 0.001395
