jetOrdinality,jetPT,jetEta,jetPhi,jetBScore,m3M,m3PT,m3Eta,m3Phi,m4M,m4PT,m4Eta,m4Phi,isStopMatched,isChiMatched,isOther
1,495.0,-0.300415039062,2.34033203125,0.92919921875,570.653600798,612.815178136,-0.360349612105,2.38408938787,1421.6196487,53.8203736623,-1.81655454406,2.37081850692,1,0,0
2,187.375,-0.73681640625,2.48046875,0.0111236572266,570.653600798,612.815178136,-0.360349612105,2.38408938787,1421.6196487,53.8203736623,-1.81655454406,2.37081850692,0,1,0
3,68.3125,0.960815429688,-0.810546875,0.0515441894531,570.653600798,612.815178136,-0.360349612105,2.38408938787,1421.6196487,53.8203736623,-1.81655454406,2.37081850692,0,1,0
4,34.5,-1.29711914062,1.97485351562,0.00569152832031,570.653600798,612.815178136,-0.360349612105,2.38408938787,1421.6196487,53.8203736623,-1.81655454406,2.37081850692,0,0,1
0,438.25,-1.12817382812,-2.68408203125,0.7021484375,999.825929495,437.442450997,-1.17798499848,0.57185093524,1581.54438955,50.0427023527,-3.91093646669,2.1015886363,1,0,0
1,320.0,0.418334960938,-0.598754882812,0.00835418701172,999.825929495,437.442450997,-1.17798499848,0.57185093524,1581.54438955,50.0427023527,-3.91093646669,2.1015886363,0,1,0
2,295.75,-1.14306640625,1.62890625,0.99951171875,999.825929495,437.442450997,-1.17798499848,0.57185093524,1581.54438955,50.0427023527,-3.91093646669,2.1015886363,0,1,0
3,171.5,-1.49755859375,0.790161132812,0.0163116455078,999.825929495,437.442450997,-1.17798499848,0.57185093524,1581.54438955,50.0427023527,-3.91093646669,2.1015886363,0,0,1
4,32.8125,0.9150390625,-1.07983398438,0.00606536865234,999.825929495,437.442450997,-1.17798499848,0.57185093524,1581.54438955,50.0427023527,-3.91093646669,2.1015886363,0,1,0
0,383.0,0.209320068359,-1.61645507812,0.108581542969,586.147864759,336.493732905,-1.63271518459,1.54928092626,1255.64093339,47.3069959982,-3.45410853597,-1.78902483058,0,1,0
1,343.0,-1.080078125,2.130859375,0.94384765625,586.147864759,336.493732905,-1.63271518459,1.54928092626,1255.64093339,47.3069959982,-3.45410853597,-1.78902483058,1,0,0
2,204.5,-0.74462890625,-0.302062988281,0.0102310180664,586.147864759,336.493732905,-1.63271518459,1.54928092626,1255.64093339,47.3069959982,-3.45410853597,-1.78902483058,0,1,0
